9q4gb	2016 38.1 0.0 37.7 4.4 17.086475 2.9425612E-5
9q4gb	2017 38.1 0.0 37.7 4.4 17.443575 3.1191146E-4
9q4gb	2018 38.1 0.0 37.7 4.4 17.58481 3.4918395E-4
9q4gb	2019 38.1 0.0 37.7 4.4 14.552211 0.004015512
9q4gb	2008 38.1 0.0 37.7 4.4 17.367903 1.1769322E-4
9q4gb	2009 38.1 0.0 37.7 4.4 16.294024 0.0015499766
9q4gb	2010 38.1 0.0 37.7 4.4 15.27476 0.001084825
9q4gb	2011 38.1 0.0 37.7 4.4 15.876506 0.0016376044
9q4gb	2012 38.1 0.0 37.7 4.4 16.592499 4.9493293E-4
9q4gb	2013 38.1 0.0 37.7 4.4 16.819925 2.769266E-4
9q4gb	2014 38.1 0.0 37.7 4.4 18.111584 2.1578782E-5
9q4gb	2015 38.1 0.0 37.7 4.4 18.457365 0.0010063566
9qb3z	2016 30.9 3.9 22.1 4.4 12.628691 6.01651E-4
9qb3z	2017 30.9 3.9 22.1 4.4 13.03998 3.5263997E-4
9qb3z	2018 30.9 3.9 22.1 4.4 12.5977335 9.479517E-4
9qb3z	2019 30.9 3.9 22.1 4.4 11.633649 0.008565277
9qb3z	2008 30.9 3.9 22.1 4.4 12.82462 3.89127E-4
9qb3z	2009 30.9 3.9 22.1 4.4 12.015824 0.0024020295
9qb3z	2010 30.9 3.9 22.1 4.4 11.793617 0.0016482219
9qb3z	2011 30.9 3.9 22.1 4.4 12.1457 0.0041056727
9qb3z	2012 30.9 3.9 22.1 4.4 11.804271 4.698436E-4
9qb3z	2013 30.9 3.9 22.1 4.4 12.568009 0.0016010521
9qb3z	2014 30.9 3.9 22.1 4.4 13.930215 8.6989504E-4
9qb3z	2015 30.9 3.9 22.1 4.4 13.885439 7.1226753E-4
9qd5c	2016 43.6 -2.9 35.9 -1.5 21.145937 5.0219713E-4
9qd5c	2017 43.6 -2.9 35.9 -1.5 21.79074 8.4393156E-5
9qd5c	2018 43.6 -2.9 35.9 -1.5 21.216486 1.3731953E-5
9qd5c	2019 43.6 -2.9 35.9 -1.5 16.76013 0.0029039232
9qd5c	2006 43.6 -2.9 35.9 -1.5 21.617731 6.642823E-4
9qd5c	2007 43.6 -2.9 35.9 -1.5 20.620136 5.3141254E-4
9qd5c	2008 43.6 -2.9 35.9 -1.5 20.928564 1.08021064E-4
9qd5c	2009 43.6 -2.9 35.9 -1.5 21.150633 0.0016210787
9qd5c	2010 43.6 -2.9 35.9 -1.5 19.950653 3.2760508E-4
9qd5c	2011 43.6 -2.9 35.9 -1.5 19.88102 0.0014953233
9qd5c	2012 43.6 -2.9 35.9 -1.5 21.301573 1.7291518E-4
9qd5c	2013 43.6 -2.9 35.9 -1.5 21.339306 0.0
9qd5c	2014 43.6 -2.9 35.9 -1.5 22.00756 1.7275225E-4
9qd5c	2015 43.6 -2.9 35.9 -1.5 21.562439 2.7463897E-4
9qdyc	2016 31.0 -7.1 26.4 -6.6 15.259744 0.0015830983
9qdyc	2017 31.0 -7.1 26.4 -6.6 15.888156 0.0011929999
9qdyc	2018 31.0 -7.1 26.4 -6.6 15.653163 0.0013558595
9qdyc	2019 31.0 -7.1 26.4 -6.6 7.765846 0.015419209
9qdyc	2007 31.0 -7.1 26.4 -6.6 8.074856 0.0034675852
9qdyc	2008 31.0 -7.1 26.4 -6.6 15.588731 0.0018146745
9qdyc	2009 31.0 -7.1 26.4 -6.6 15.178709 0.0056131603
9qdyc	2010 31.0 -7.1 26.4 -6.6 13.734808 0.0042098183
9qdyc	2011 31.0 -7.1 26.4 -6.6 13.350232 0.0066540954
9qdyc	2012 31.0 -7.1 26.4 -6.6 16.091206 0.0015378265
9qdyc	2013 31.0 -7.1 26.4 -6.6 15.57247 0.001087811
9qdyc	2014 31.0 -7.1 26.4 -6.6 15.970388 0.0027313055
9qdyc	2015 31.0 -7.1 26.4 -6.6 15.432432 0.003256432
9qnff	2010 49.1 11.1 47.1 12.1 28.623444 2.5066582E-4
9qnff	2011 49.1 11.1 47.1 12.1 31.610806 5.4339296E-4
9qnff	2012 49.1 11.1 47.1 12.1 32.623924 9.577643E-4
9qnff	2013 49.1 11.1 47.1 12.1 31.899685 9.6123695E-4
9qnff	2014 49.1 11.1 47.1 12.1 27.908083 5.832847E-5
9qqbx	2011 42.9 1.4 38.4 2.7 18.471323 0.0036316728
9qqbx	2012 42.9 1.4 38.4 2.7 25.418848 0.0019959966
9qqbx	2013 42.9 1.4 38.4 2.7 24.523027 0.002346201
9qqbx	2014 42.9 1.4 38.4 2.7 20.612577 5.2495627E-4
9qqvk	2011 44.1 6.5 41.9 7.8 20.23999 0.0053719888
