01       26.0 -2.7 6.664428E-4 12.448414
02       30.6 -4.8 0.001508727 14.167762
03       35.2 4.2 5.129499E-4 19.24078
04       41.6 6.4 3.4191002E-4 23.67099
05       44.8 11.1 0.0 28.228792
06       49.1 16.5 0.0 33.731693
07       47.7 22.4 0.0013490284 35.653633
08       47.4 22.5 0.0011611411 35.991676
09       44.8 15.8 0.0015503606 31.671938
10       41.7 9.3 5.460349E-4 24.172342
11       33.6 1.2 0.0010387738 16.907522
12       26.4 -1.1 0.003085796 12.080125
