9xw1	7.38819 0.0036709239	184.32213 2.6504264
9y6v	15.564416 0.008965656	188.43166 2.038399
9ybj	11.523773 0.004651842	192.81761 3.298996
9ygq	12.887909 0.008365671	178.87752 2.6561878
9yqe	14.552647 0.013069942	169.68936 1.693499
9yss	13.67918 0.011514946	173.81065 2.01254
9ywy	12.650683 0.011470655	169.16687 1.8250175
9z5p	10.771435 0.007758031	171.76639 2.7880192
9z72	10.536043 0.008627205	168.15656 1.1366643
9zbd	7.8290353 0.004783669	171.48315 3.4339905
9zg2	7.0951777 0.0073639452	163.68105 2.308414
9zjf	11.606982 0.009884123	168.06592 2.518511
9zms	9.64015 0.009463383	164.4327 2.6726959
9zzf	7.5938005 0.00822095	150.86707 2.4452708
b3vf	4.591636 0.011077613	99.64876 3.5885372
b4nv	1.9265547 0.006096637	87.21362 4.532575
b6gm	-1.123988 0.0040056347	61.04905 4.8589396
b7yf	-2.1982956 0.0030282266	96.9226 2.5237863
bd35	2.7848237 0.007341052	94.91546 3.3994255
bddq	2.244791 0.005141779	90.876564 0.8067571
bdv1	1.7627586 0.0042148624	95.11493 0.88797903
be6q	0.21610449 0.0035349778	94.86845 0.91471714
bek8	-0.4630817 0.0067991936	93.337814 1.4905587
bex1	-0.27190217 0.003632065	93.59505 1.3200626
bfb8	4.654613 0.033339564	55.905857 1.0386161
bfpu	6.115765 0.023977067	70.86629 0.3358296
bfrs	5.1538014 0.014016744	86.96904 1.1823888
bfsd	3.7107506 0.032832213	67.79458 0.636706
bg0w	-1.9976686 0.005443552	95.43354 0.6359333
bg5s	-0.93609166 0.0037072387	116.438805 0.4747996
bkh5	-3.4502602 0.0051735733	86.91465 2.6520112
bs1j	-7.2407436 0.0027254624	93.27715 2.5948317
bs8t	-9.935535 0.0017161475	83.96716 4.203845
bsjy	-7.0748324 0.003985415	78.12719 2.8276122
bsqr	-6.3140163 0.0027272496	92.8604 4.0036573
c0ry	9.212792 0.038823754	114.52538 0.53599864
c1f3	8.232393 0.024359588	102.81403 2.2342992
c29s	9.280231 0.020356927	121.38596 0.50207055
c2km	7.5997252 0.004681134	159.22577 1.4760361
c2p8	3.9165964 0.0024487553	170.52193 2.1816807
c2xm	4.4801235 0.0064981994	151.26413 3.0167117
c83d	5.234982 0.0043827035	157.06769 2.4379218
c8nd	6.513501 0.0042559723	168.3065 2.7301753
c8q6	6.1608834 0.0041831853	159.19409 3.0123441
c8t5	5.2213564 0.0033806737	156.17706 4.235016
c8t6	4.9031076 0.0033691037	156.02057 2.7955348
c8xq	3.2101545 0.00396678	153.29448 3.2650986
cb1s	5.355989 0.0047418266	166.9103 3.887088
cb36	4.518315 0.005010343	160.99619 3.5792856
cbef	3.6130042 0.0055774455	145.94478 1.8570629
cbjy	5.3547297 0.008256844	144.41908 1.4293842
dhw5	23.362047 0.013503281	194.16562 1.0207016
dhy4	22.021935 0.012488381	193.81741 1.6229074
dj3t	18.896318 0.014999565	187.1601 1.600245
dj8x	17.090408 0.01398662	174.65582 1.3613675
dj9t	17.533295 0.014256289	0.0 0.0
djc6	17.559002 0.013145341	0.0 0.0
djcb	17.357605 0.012709477	183.83876 1.1430409
djcd	17.657354 0.013069748	0.0 0.0
djcs	17.87612 0.013842899	0.0 0.0
djd1	18.246508 0.014750148	0.0 0.0
djdp	17.808687 0.012747861	0.0 0.0
djdt	18.054546 0.013672362	0.0 0.0
djdu	17.777212 0.013268124	0.0 0.0
djec	18.93287 0.012025214	185.16914 1.1489477
djef	18.43328 0.012178241	182.90913 0.76418984
djf6	17.102358 0.013399355	0.0 0.0
djfy	16.60284 0.013620417	0.0 0.0
djnd	21.879782 0.011153097	196.71527 2.026634
djqp	19.88933 0.010743608	188.48822 1.5124316
djyj	17.517979 0.010992627	183.12483 1.6908119
djzs	18.193462 0.012835784	176.74641 0.85990345
dn0q	15.288271 0.01363481	168.80289 1.2173997
dn1e	15.391047 0.01360891	0.0 0.0
dn1t	16.138819 0.012581708	0.0 0.0
dn1v	16.092566 0.012850953	0.0 0.0
dn46	15.690659 0.013957658	0.0 0.0
dn4e	16.895561 0.013206773	0.0 0.0
dn4g	15.091534 0.013370362	176.13765 1.8534925
dn4v	15.1657505 0.013101663	0.0 0.0
dn5h	14.787282 0.013735737	0.0 0.0
dn7k	12.681728 0.01465298	161.40804 1.6725402
dnde	14.229237 0.013458254	169.74797 1.020983
dnfm	12.231694 0.012299357	159.46516 1.6954647
dng8	13.040206 0.012441262	165.8523 2.6422246
dnh8	16.664385 0.011391803	179.4515 1.6751729
dnm3	12.592364 0.012511976	164.86449 0.9274325
dnru	15.089208 0.011285698	179.1847 1.298126
dnzm	8.113073 0.013935036	146.69395 1.7201265
dp15	11.02269 0.009615964	164.69595 3.0004358
dp2y	8.823795 0.009422212	158.69565 2.7364435
dpgz	5.9132395 0.009433586	143.88615 1.8268188
dpjv	10.743626 0.010052648	165.07442 2.2753804
dpjz	9.294943 0.010501708	144.14874 2.3651688
dpz7	7.0616603 0.007598713	148.66582 2.424943
dqb0	13.524609 0.011621394	166.57402 1.7286161
dqdh	15.018623 0.01038088	174.19211 2.3887923
dr44	11.78555 0.011820046	164.00836 1.587452
dr7t	9.607241 0.011403817	153.46802 1.1249524
dr9c	7.7860003 0.010352421	144.44757 2.5621388
drm5	9.935784 0.012755376	157.57271 2.132834
drmh	10.095442 0.012707268	165.44475 1.9190084
drtt	8.518313 0.012120654	151.61913 1.277467
drzp	6.599765 0.011060436	146.06459 1.6047436
f04p	5.004335 0.009160198	141.33183 1.6510937
f2re	4.0200596 0.011454099	129.70776 1.6408209
yuex	-9.513989 0.0022857501	0.0 0.0
